Name,Description,Due Date,Tags,Stage,Risk Flag
Developer feedback session,Owner: CE + Opstree | Timing: Day 21 | Structured feedback from pilot developers on blockers and wins,,feedback,Hyper-Care,None
Enablement workshop delivered,Owner: Opstree | Timing: Day 28 | Hands-on workshop for full dev team,,enablement,Hyper-Care,None
30-day adoption report,Owner: CE | Timing: Day 30 | Report on WAU adoption vs target; share with customer sponsor,,reporting,Hyper-Care,None
Broader rollout (full team),Owner: Opstree | Timing: Day 35-45 | Expand GCA access from pilot to full developer organisation,,deployment,Hyper-Care,None
60-day health check,Owner: CE | Timing: Day 60 | Review adoption metrics and health with customer champion,,check-in,Hyper-Care,None
Blockers resolved (policy / proxy / UX),Owner: Opstree | Timing: Ongoing | Track and resolve any adoption blockers raised by developers,,blockers,Hyper-Care,None
WAU adoption >= 60% confirmed,Owner: CE | Timing: Day 75 | Validate adoption threshold met — green light for graduation,,graduation,Hyper-Care,None
First QBR scheduled,Owner: CE | Timing: Day 80 | Set QBR date with customer sponsor and confirm agenda,,qbr,Hyper-Care,None
Opstree ongoing scope agreed,Owner: CE + Opstree | Timing: Day 85 | Define Opstree involvement for Steady-State phase,,planning,Hyper-Care,None
Mark project Stage field to Steady-State,Owner: CE | Timing: Day 90 | Update Stage custom field on this project to Steady-State,,admin,Hyper-Care,None
📈 Steady-State:,,,,,
Monthly adoption metrics pull,Owner: CE | Timing: 1st of each month | Recurring task — pull WAU from GCA admin console,,metrics,Steady-State,None
Champion check-in call,Owner: CE | Timing: Monthly | Recurring — 30-min sync with customer champion on adoption and asks,,check-in,Steady-State,None
Update Customer Health and WAU Adoption % fields,Owner: CE | Timing: Monthly | Recurring — update both custom fields based on latest metrics,,admin,Steady-State,None
Watch for WAU drop greater than 10%,Owner: Opstree | Timing: Weekly | Recurring — flag to CE if week-on-week adoption drops materially,,monitoring,Steady-State,None
Pull usage data from GCA admin console (QBR prep),Owner: Opstree | Timing: 2 weeks before QBR | Export usage stats for QBR deck,,qbr,Steady-State,None
Draft QBR deck,Owner: CE + Opstree | Timing: 1 week before QBR | Cover: usage stats vs targets; wins; roadmap; asks from customer,,qbr,Steady-State,None
QBR review call with sponsor / leadership,Owner: CE | Timing: Quarterly | Deliver QBR and capture all action items during call,,qbr,Steady-State,None
Capture & enter QBR action items in Asana,Owner: CE | Timing: Day of QBR | Create tasks in this project for every customer action item from QBR,,qbr,Steady-State,None
Expansion signal identified (new team or use case),Owner: CE | Timing: As identified | Log expansion opportunity and create pre-sales task in CE Pipeline,,expansion,Steady-State,None
Expansion discovery call,Owner: CE | Timing: As identified | Qualify the expansion scope and ARR potential,,expansion,Steady-State,None
Commercial expansion discussion,Owner: AE + CE | Timing: As identified | Hand off expansion opportunity to AE for commercial motion,,expansion,Steady-State,None
Renewal date logged in Next Key Date field,Owner: CE | Timing: Day of contract | Set Renewal Date custom field on this project,,admin,Steady-State,None
90-day pre-renewal health check,Owner: CE | Timing: 90 days before renewal | Review health and flag any renewal risk early,,renewal,Steady-State,None
Renewal risk assessment — update Health field,Owner: CE | Timing: 90 days before renewal | Set Customer Health field; escalate if Red,,renewal,Steady-State,None
Renewal confirmed / at-risk escalated,Owner: CE + AE | Timing: Before renewal date | Confirm renewal or escalate risk to leadership,,renewal,Steady-State,None
🗄️ Archive:,,,,,
